,rating,mpa,num_reviewer,region,time,rr
155,8.11971511,3,178799.0,0,105,0.4285714285714285
156,8.118019473,0,212493.0,16,129,17.539825
157,8.1175442,3,404677.0,5,119,9.897338583333331
158,8.111344218,0,519295.0,8,115,10.857419266666666
159,8.110316947,0,695619.0,8,93,7.165587606837607
160,8.110161205,3,223880.0,8,161,9.066666666666666
161,8.106460191,0,733624.0,0,153,2.654927978260869
162,8.102536234,1,478596.0,0,140,0.9323446
163,8.102462814,0,687038.0,0,98,8.65885357142857
164,8.100297244,0,783982.0,3,116,8.180552363636364
165,8.092279594,4,347238.0,5,86,8.263414054054055
166,8.091518406,1,1005336.0,0,141,6.771429076923077
167,8.088581669,1,695015.0,0,132,7.225454866666666
168,8.086194008,3,75914.0,14,89,5.188516666666667
169,8.08465265,0,780511.0,0,117,1.4900865714285714
170,8.084359237,6,112966.0,0,95,7.042253521126761
171,8.081041373,0,316063.0,0,101,2.3949544
172,8.080957654,1,890632.0,8,130,10.738879536
173,8.080551292,0,710182.0,0,134,9.3866601
174,8.077919353,4,242831.0,0,212,4.962514666666666
175,8.077227003,0,826567.0,0,99,6.92328756
176,8.076989745,0,998412.0,0,149,6.054596114754099
177,8.075166432,6,93038.0,0,67,1.3333333333333333
178,8.073814134,3,171822.0,8,185,1.8363636363636364
179,8.073767727,0,178278.0,17,133,5.0612970769230765
180,8.073189979,0,344025.0,0,183,3.2716252666666668
181,8.071210675,0,540235.0,18,139,4.5140909
182,8.069067552,5,191558.0,7,132,0.4166846428571428
183,8.067635052,0,202752.0,16,122,9.539058484848486
184,8.066469718,6,116885.0,0,129,0.0761778947368421
185,8.063573407,0,1018598.0,18,122,2.7684092133333333
186,8.062816239,5,179607.0,18,92,0.2112171116504854
187,8.062064132,5,188156.0,19,96,2.0747466666666665
188,8.06141844,3,752370.0,0,98,2.999269521212121
189,8.060715011,4,922302.0,0,92,5.040936852173913
190,8.060138403,0,427641.0,17,118,2.723212153846154
191,8.060052203,3,616997.0,0,124,68.07315214285714
192,8.059861934,3,502260.0,0,128,14.381714390243902
193,8.058191273,0,819389.0,0,117,3.131500533333333
194,8.049418418,1,408052.0,0,152,2.31053493852459
195,8.048690637,1,359764.0,8,121,1.9361281714285716
196,8.04670833,3,590143.0,0,122,122.13583541666668
197,8.044287346,0,420001.0,0,122,23.090938666666663
198,8.042634857,4,754133.0,0,111,4.1581739
199,8.040969594,0,477530.0,0,129,4.9345127
200,8.040154613,0,877341.0,8,107,12.2455
201,8.040082251,0,777310.0,0,137,6.383298453608248
202,8.037572418,10,412106.0,0,89,6.53592675
203,8.035407978,0,486833.0,8,123,2.552184447368421
204,8.034600076,0,161981.0,0,121,6.234409736842105
205,8.032518064,0,270409.0,0,80,5.870281111111111
206,8.03155946,0,630578.0,0,148,3.778393
207,8.030656339,4,406631.0,0,102,9.232145840835434
208,8.027983409,2,66351.0,0,170,11.267308095238096
209,8.027248454,3,644243.0,0,101,4.870451438356165
210,8.026425706,0,415967.0,0,122,40.11874045454545
211,8.025084615,6,38991.0,0,99,3.815
212,8.024904244,3,751480.0,0,115,6.865294054347826
213,8.023927647,5,178511.0,6,98,3.738820194516397
214,8.023155612,1,1142281.0,0,143,4.673314392857143
215,8.022628649,5,61730.0,2,121,1.2025025
216,8.022189737,4,291492.0,8,93,2.921852875
217,8.021207843,11,204916.0,10,164,1.125
218,8.019831606,5,87612.0,20,112,13.294999285714283
219,8.019735439,0,243835.0,15,154,10.4542335
220,8.019183712,2,139624.0,0,130,4.658385093167702
221,8.018361546,12,179864.0,0,127,5.0625
222,8.016981392,5,153783.0,7,145,4.731831875
223,8.013341204,4,241528.0,0,172,19.44362731707317
224,8.012712197,6,106235.0,0,105,6.153846153846154
225,8.009236847,0,405471.0,8,94,5.186432
226,8.00614245,3,205168.0,0,86,0.3333688142857143
227,8.005254307,1,466836.0,0,146,8.66556448
228,8.005217248,4,31262.0,21,142,5.55
229,8.003853598,4,430087.0,0,90,18.001793535714285
230,8.001732811,3,235086.0,8,191,2.3985404090909093
231,8.001684208,1,272622.0,0,181,19.28222036363636
